City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kahului,20.8947,-156.47,81.9,62,20,13.8,US,1630005224
Ushuaia,-54.8,-68.3,40.62,48,0,0.81,AR,1630005309
Ploemeur,47.7333,-3.4333,64.67,76,90,12.66,FR,1630005310
Punta Arenas,-53.15,-70.9167,41.11,70,40,8.05,CL,1630005310
Carnarvon,-24.8667,113.6333,59.07,71,0,11.5,AU,1630005311
Chokurdakh,70.6333,147.9167,45.81,75,100,10.16,RU,1630005311
Mataura,-46.1927,168.8643,41.49,99,100,1.7,NZ,1630005311
Mount Isa,-20.7333,139.5,44.37,33,0,1.14,AU,1630005312
New Norfolk,-42.7826,147.0587,43.2,90,100,1.5,AU,1630005312
Kuandian,40.7286,124.7847,62.73,95,100,1.72,CN,1630005313
Lebu,-37.6167,-73.65,51.01,72,77,1.77,CL,1630005313
Avarua,-21.2078,-159.775,68.05,94,90,4.61,CK,1630005313
Rikitea,-23.1203,-134.9692,71.71,70,0,11.45,PF,1630005314
Saint-Philippe,-21.3585,55.7679,64.72,78,46,14.38,RE,1630005314
Havre-St-Pierre,50.2334,-63.5986,64.76,94,90,8.05,CA,1630005314
Puro,12.4841,123.3827,79.12,85,100,10.02,PH,1630005315
Bay City,43.5945,-83.8889,85.82,62,40,0.0,US,1630005106
Victor Harbor,-35.5667,138.6167,41.18,91,7,5.39,AU,1630005315
Sitka,57.0531,-135.33,60.69,72,75,5.75,US,1630005316
Yellowknife,62.456,-114.3525,68.52,56,20,9.22,CA,1630005316
Kaitangata,-46.2817,169.8464,44.1,90,100,5.23,NZ,1630005316
Mormugao,15.4,73.8,80.26,81,100,4.92,IN,1630005317
Dikson,73.5069,80.5464,37.87,76,21,15.32,RU,1630005317
Karratha,-20.7377,116.8463,72.88,36,99,13.33,AU,1630005318
Korla,41.7597,86.1469,74.48,32,57,15.79,CN,1630005318
Poum,-20.2333,164.0167,72.46,82,12,11.54,NC,1630005319
Piaçabuçu,-10.4056,-36.4344,78.1,73,9,9.8,BR,1630005319
Tigil',57.8,158.6667,53.47,81,100,4.21,RU,1630005319
San Quintín,30.4833,-115.95,82.0,59,13,14.2,MX,1630005320
Vrangel',42.7297,133.0839,68.52,96,100,2.48,RU,1630005320
Klaksvík,62.2266,-6.589,52.72,94,100,0.94,FO,1630005320
Goundam,16.4145,-3.6708,91.99,40,81,19.19,ML,1630005321
Aire-sur-la-Lys,50.6387,2.3988,60.33,86,100,12.59,FR,1630005321
Busselton,-33.65,115.3333,47.08,55,50,16.71,AU,1630005322
Lianzhou,24.7811,112.3825,74.75,97,98,2.39,CN,1630005322
Qaanaaq,77.484,-69.3632,37.83,96,100,6.98,GL,1630005322
Antalaha,-14.9003,50.2788,66.4,80,0,8.57,MG,1630005323
Butaritari,3.0707,172.7902,81.93,75,100,13.31,KI,1630005323
Abonnema,4.7084,6.7931,73.49,97,100,5.93,NG,1630005324
Norman Wells,65.282,-126.8329,59.04,82,75,4.61,CA,1630005324
Chui,-33.6971,-53.4616,60.93,46,0,4.0,UY,1630005324
Nazca,-14.8333,-74.95,72.9,46,45,9.93,PE,1630005325
Muisne,0.6,-80.0333,80.71,77,99,9.8,EC,1630005326
Nishihara,26.1842,127.7558,80.31,89,20,4.61,JP,1630005327
Teahupoo,-17.8333,-149.2667,69.76,74,41,15.12,PF,1630005327
Hilo,19.7297,-155.09,76.15,80,75,0.0,US,1630005052
Hobart,-42.8794,147.3294,45.05,95,90,1.01,AU,1630005328
Cape Town,-33.9258,18.4232,51.78,87,100,4.0,ZA,1630005165
Oodweyne,9.4092,45.064,80.69,36,95,17.47,SO,1630005328
Dolinsk,47.35,142.8,60.66,96,100,5.17,RU,1630005329
Cooma,-36.2333,149.1333,39.58,98,100,4.59,AU,1630005329
Yulara,-25.2406,130.9889,44.44,39,3,2.3,AU,1630005329
Torbay,47.6666,-52.7314,60.84,76,20,8.05,CA,1630005327
Tual,-5.6667,132.75,80.17,80,46,19.19,ID,1630005330
Souillac,-20.5167,57.5167,70.18,68,20,9.22,MU,1630005330
Castro,-24.7911,-50.0119,70.93,47,65,10.69,BR,1630005331
Mahibadhoo,3.7833,72.9667,82.89,75,99,13.31,MV,1630005331
Ilulissat,69.2167,-51.1,46.42,71,75,8.05,GL,1630005332
Vaini,-21.2,-175.2,66.36,77,40,9.22,TO,1630005332
Mar del Plata,-38.0023,-57.5575,66.22,26,20,26.46,AR,1630005333
Narsaq,60.9167,-46.05,59.22,60,13,5.7,GL,1630005185
Labuhan,-6.8844,112.2051,74.16,76,79,8.75,ID,1630005333
Rāver,21.25,76.0333,76.66,81,100,5.28,IN,1630005334
Cururupu,-1.8283,-44.8683,84.31,70,43,6.76,BR,1630005334
Teguise,29.0605,-13.564,71.82,73,20,16.11,ES,1630005334
Severo-Kuril'sk,50.6789,156.125,53.56,88,100,6.58,RU,1630005335
Clyde River,70.4692,-68.5914,37.45,94,100,2.04,CA,1630005335
Nanortalik,60.1432,-45.2371,45.1,83,25,16.13,GL,1630005336
Gouré,13.9835,10.2704,84.02,48,98,3.38,NE,1630005336
Beringovskiy,63.05,179.3167,46.87,73,6,7.85,RU,1630005336
Hofn,64.2539,-15.2082,54.39,98,88,7.61,IS,1630005337
Bluff,-46.6,168.3333,41.81,72,91,9.13,NZ,1630005337
Hambantota,6.1241,81.1185,80.69,78,94,17.56,LK,1630005338
Vila Velha,-20.3297,-40.2925,78.75,69,0,18.41,BR,1630005339
Broome,42.2506,-75.833,84.65,63,1,0.0,US,1630005339
Guardiagrele,42.1954,14.2198,67.3,81,10,4.92,IT,1630005339
Huilong,31.8111,121.655,75.97,92,95,10.92,CN,1630005340
Tiksi,71.6872,128.8694,39.7,96,100,18.54,RU,1630005340
Alingsås,57.9303,12.5335,56.05,91,100,14.9,SE,1630005149
San Ignacio,17.1561,-89.0714,89.74,66,40,4.61,BZ,1630005341
Smithers,54.7804,-127.1743,61.12,77,75,3.44,CA,1630005320
Lavrentiya,65.5833,-171.0,38.25,67,97,12.28,RU,1630005341
Adrar,20.5022,-10.0711,104.05,7,14,10.78,MR,1630005342
Mount Gambier,-37.8333,140.7667,37.31,100,75,0.0,AU,1630005342
East London,-33.0153,27.9116,67.06,72,3,12.57,ZA,1630005343
Mossamedes,-15.1961,12.1522,61.65,82,81,9.69,AO,1630005343
Albany,42.6001,-73.9662,88.99,66,10,2.84,US,1630005045
Geraldton,-28.7667,114.6,54.01,87,90,3.44,AU,1630005344
Ruwi,23.5996,58.5507,89.29,36,15,3.36,OM,1630005344
Airai,-8.9266,125.4092,56.14,88,14,3.58,TL,1630005345
Ormara,25.2088,64.6357,78.73,88,69,11.5,PK,1630005345
Ponta do Sol,32.6667,-17.1,76.62,78,25,6.85,PT,1630005345
São Luís de Montes Belos,-16.525,-50.3722,96.3,15,100,4.5,BR,1630005346
Lata,40.1629,-8.3327,68.86,69,0,4.52,PT,1630005346
Arrondissement de Saint-Dizier,48.4167,5.0833,60.4,74,89,8.93,FR,1630005347
Rancho San Diego,32.7473,-116.9353,90.18,35,1,1.99,US,1630005334
Talnakh,69.4865,88.3972,45.59,93,100,9.06,RU,1630005347
Padang,-0.9492,100.3543,76.62,88,38,3.6,ID,1630005347
Senneterre,48.3835,-77.2328,70.38,46,12,11.12,CA,1630005109
Coyhaique,-45.5752,-72.0662,45.21,76,68,8.72,CL,1630005348
Praia da Vitória,38.7333,-27.0667,71.76,73,18,15.35,PT,1630005202
Erdenet,49.0333,104.0833,44.64,83,97,2.91,MN,1630005187
Henties Bay,-22.116,14.2845,56.86,91,1,6.49,NA,1630005349
Quatre Cocos,-20.2078,57.7625,67.08,73,5,13.42,MU,1630005349
Tuktoyaktuk,69.4541,-133.0374,59.0,82,75,11.5,CA,1630005350
Hervey Bay,-25.2986,152.8535,47.03,49,0,7.81,AU,1630005350
Hermanus,-34.4187,19.2345,49.8,90,100,17.34,ZA,1630005351
Pevek,69.7008,170.3133,34.88,83,100,4.83,RU,1630005351
Leningradskiy,69.3833,178.4167,34.25,82,100,17.56,RU,1630005351
Alofi,-19.0595,-169.9187,67.89,73,100,9.22,NU,1630005352
Longyearbyen,78.2186,15.6401,42.64,81,75,23.02,SJ,1630005352
Cidreira,-30.1811,-50.2056,57.43,85,100,7.25,BR,1630005353
Domoni,-12.2569,44.5319,75.29,84,21,2.48,KM,1630005353
Hithadhoo,-0.6,73.0833,82.62,72,97,8.88,MV,1630005353
Sheridan,44.8333,-106.9173,83.17,39,1,3.0,US,1630005354
College,64.8569,-147.8028,51.76,89,90,8.05,US,1630005283
Jamestown,42.097,-79.2353,84.67,63,1,3.0,US,1630005354
Lagos,6.5833,3.75,76.3,90,100,4.29,NG,1630005056
Esperance,-33.8667,121.9,48.36,84,67,21.39,AU,1630005355
Bethel,41.3712,-73.414,91.08,56,40,3.0,US,1630005355
Sisimiut,66.9395,-53.6735,41.88,90,100,5.32,GL,1630005356
Mgandu,-5.95,34.1333,65.98,35,5,4.54,TZ,1630005356
Santa María del Monte,19.2878,-99.8228,69.71,52,37,6.85,MX,1630005356
Sioux Lookout,50.1001,-91.917,59.07,63,90,3.44,CA,1630005357
Puerto Ayora,-0.7393,-90.3518,72.55,79,95,8.99,EC,1630005357
Saint George,37.1041,-113.5841,98.51,18,1,1.99,US,1630005358
Cabo San Lucas,22.8909,-109.9124,94.05,55,20,12.66,MX,1630005358
Eisenach,50.9833,10.3167,54.45,95,100,4.29,DE,1630005359
Ngunguru,-35.6167,174.5,57.16,78,100,15.08,NZ,1630005359
Saskylakh,71.9167,114.0833,36.55,87,100,16.93,RU,1630005359
Tasiilaq,65.6145,-37.6368,48.36,92,100,10.94,GL,1630005360
Gorin,51.1983,136.6669,61.57,98,100,3.11,RU,1630005360
Aklavik,68.2191,-135.0107,60.8,72,75,6.91,CA,1630005360
Bredasdorp,-34.5322,20.0403,49.32,87,100,12.66,ZA,1630005361
Kavieng,-2.5744,150.7967,81.63,77,51,12.53,PG,1630005361
Faanui,-16.4833,-151.75,78.98,61,70,12.97,PF,1630005362
Mount Darwin,-16.7725,31.5838,63.52,45,0,3.89,ZW,1630005363
Cochrane,51.1834,-114.4687,69.96,25,16,4.52,CA,1630005095
Vardø,70.3705,31.1107,53.58,71,0,11.5,NO,1630005364
Glenwood Springs,39.5505,-107.3248,70.9,62,90,4.61,US,1630005153
Panórama,40.5878,23.0315,71.24,71,20,1.99,GR,1630005366
Port Hedland,-20.3167,118.5667,59.05,82,100,2.3,AU,1630005367
Elizabeth City,36.2946,-76.2511,91.49,67,1,3.0,US,1630005367
